"region_id";"large_gov";"region_lat";"region_long";"small_gov"
93;"경기";"37.361781037278405";"126.93518462679782";"군포시"
94;"경기";"37.78539720839168";"127.04570416728977";"양주시"
95;"경기";"37.59436938973293";"127.12974239796728";"구리시"
96;"경기";"37.14993904950301";"127.07746056912308";"오산시"
97;"경기";"37.008175862733296";"127.27971888261472";"안성시"
98;"경기";"37.34484558000475";"126.96830999796241";"의왕시"
99;"경기";"37.27233095633714";"127.43501231145532";"이천시"
100;"경기";"37.895058910755125";"127.2003657268087";"포천시"
101;"경기";"37.90346883290519";"127.06050877744237";"동두천시"
102;"경기";"37.42931607706752";"126.98765158446946";"과천시"
103;"경기";"37.29822067251056";"127.6366019530181";"여주시"
104;"경기";"37.491840221059576";"127.48742756913022";"양평군"
105;"경기";"37.831407408986436";"127.50951202496113";"가평군"
106;"경기";"38.09656115915558";"127.0750565979777";"연천군"
107;"강원";"37.8814117693295";"127.73009765564355";"춘천시"
108;"강원";"37.34216669598104";"127.91975145563264";"원주시"
109;"강원";"37.75208363263498";"128.8759378406129";"강릉시"
110;"강원";"37.524870649500336";"129.11429169796608";"동해시"
111;"강원";"37.16420277823942";"128.9855542691234";"태백시"
112;"강원";"38.207126876324544";"128.59190531332072";"속초시"
113;"강원";"37.450023622651365";"129.16543143316284";"삼척시"
114;"강원";"37.69719677529224";"127.88883222680454";"홍천군"
115;"강원";"37.491924009778536";"127.98507878447099";"횡성군"
116;"강원";"37.1838031996939";"128.4618583556292";"영월군"
117;"강원";"37.370797569993705";"128.39032982139616";"평창군"
118;"강원";"37.38067615725";"128.66086739796307";"정선군"
119;"강원";"38.146818317095814";"127.31331738263788";"철원군"
120;"강원";"38.10641141215134";"127.7081522556484";"화천군"
121;"강원";"38.110133789180516";"127.99009902681328";"양구군"
122;"강원";"38.069655245153115";"128.170329440945";"인제군"
123;"강원";"38.380713683318284";"128.46781676914836";"고성군"
124;"강원";"38.07549342850895";"128.6190849826366";"양양군"
